10743724-k;Camila Lopez;134;2014;Lenguaje y Comunicaci¢n;cami@gmail.com;0652345767;89382878;139287782-2;Practica de Observacion;Foto;22;3
6090671-8;Emilio Carcamo;3255;2016;Lenguaje y Comunicaci¢n;emi@hotmail.com;0652382756;29727843;139287782-2;Practica de Observacion;Foto;2;4
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
